,continent,location,total_cases,total_deaths,total_tests,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,handwashing_facilities,hospital_beds_per_thousand,human_development_index
44110,North America,United States,7191061.0,205998.0,0.0,0.0,0.0,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,0.0,2.77,0.924
5861,North America,Bermuda,181.0,9.0,0.0,0.0,0.0,62273.0,1308.82,0.0,0.0,0.0,50669.315,0.0,0.0,0.0,0.0
10522,North America,Cayman Islands,211.0,1.0,0.0,0.0,0.0,65720.0,256.496,0.0,0.0,0.0,49903.029,0.0,0.0,0.0,0.0
37137,Asia,Saudi Arabia,334187.0,4739.0,0.0,0.0,0.0,34813867.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,0.0,0.0,2.7,0.853
32411,Europe,Netherlands,117420.0,6384.0,0.0,0.0,0.0,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,0.0,0.0,3.32,0.9309999999999999
40137,Europe,Sweden,92466.0,5890.0,0.0,0.0,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,0.0,2.22,0.9329999999999999
11938,Europe,Denmark,27464.0,650.0,0.0,0.0,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,0.0,2.5,0.929
21458,Europe,Iceland,2695.0,10.0,0.0,0.0,0.0,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,0.0,2.91,0.935
2793,Europe,Austria,44607.0,796.0,1617987.0,27.33,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,0.0,7.37,0.9079999999999999
11275,Europe,Germany,289219.0,9488.0,0.0,0.0,0.0,83783945.0,237.016,46.6,21.453000000000003,15.957,45229.245,0.0,0.0,8.0,0.9359999999999999
2518,Oceania,Australia,27063.0,882.0,0.0,0.0,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,0.0,3.84,0.9390000000000001
7601,North America,Canada,156961.0,9291.0,7295024.0,51.276,0.0,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,0.0,2.5,0.9259999999999999
4799,Asia,Bahrain,70422.0,246.0,1429432.0,15.853,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,0.0,0.0,2.0,0.846
3526,Europe,Belgium,117021.0,10001.0,0.0,0.0,0.0,11589616.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,0.0,5.64,0.9159999999999999
14415,Europe,Finland,9892.0,345.0,0.0,0.0,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,0.0,0.0,3.28,0.92
15800,Europe,United Kingdom,446156.0,42072.0,0.0,0.0,0.0,67886004.0,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,0.0,2.54,0.922
22888,Asia,Japan,83010.0,1564.0,0.0,0.0,0.0,126476458.0,347.778,48.2,27.049,18.493,39002.223,0.0,0.0,13.05,0.909
15115,Europe,France,550690.0,31893.0,0.0,0.0,0.0,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,0.0,0.0,5.98,0.9009999999999999
33511,Asia,Oman,98585.0,935.0,0.0,0.0,0.0,5106622.0,14.98,30.7,2.355,1.53,37960.709,0.0,97.4,1.6,0.821
29060,Europe,Malta,3035.0,34.0,0.0,0.0,0.0,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,0.0,4.485,0.878
40544,North America,Sint Maarten (Dutch part),659.0,22.0,0.0,0.0,0.0,42882.0,1209.088,0.0,0.0,0.0,36327.232,0.0,0.0,0.0,0.0
33236,Oceania,New Zealand,1480.0,25.0,0.0,0.0,0.0,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,0.0,0.0,2.61,0.917
196,North America,Aruba,3934.0,26.0,0.0,0.0,0.0,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,0.0,0.0,0.0,0.0
24234,Asia,South Korea,23812.0,413.0,2302403.0,110.79,0.0,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,0.0,12.27,0.903
22008,Europe,Italy,313011.0,35875.0,0.0,0.0,0.0,60461828.0,205.859,47.9,23.021,16.24,35220.084,2.0,0.0,3.18,0.88
35073,North America,Puerto Rico,48467.0,654.0,0.0,0.0,0.0,2860840.0,376.23199999999997,38.2,15.168,9.829,35044.67,0.0,0.0,0.0,0.0
13663,Europe,Spain,758172.0,31614.0,0.0,0.0,0.0,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,0.0,2.97,0.8909999999999999
21733,Asia,Israel,236926.0,1528.0,0.0,0.0,0.0,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,0.0,2.99,0.903
11000,Europe,Czech Republic,67843.0,636.0,0.0,0.0,0.0,10708982.0,137.17600000000002,43.3,19.027,11.58,32605.906000000003,0.0,0.0,6.63,0.888
10725,Europe,Cyprus,1713.0,22.0,0.0,0.0,0.0,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,0.0,0.0,3.4,0.8690000000000001
39863,Europe,Slovenia,5487.0,138.0,0.0,0.0,0.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,0.0,0.0,4.5,0.8959999999999999
39654,Europe,Slovakia,9574.0,45.0,457851.0,13.15,0.0,5459643.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,0.7,0.0,5.82,0.855
26477,Europe,Lithuania,4578.0,92.0,774987.0,52.057,0.0,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,0.0,6.56,0.858
13938,Europe,Estonia,3315.0,64.0,0.0,0.0,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,0.0,4.69,0.871
42355,North America,Trinidad and Tobago,4463.0,74.0,0.0,0.0,0.0,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,0.0,89.443,3.0,0.784
35287,Europe,Portugal,74717.0,1963.0,0.0,0.0,0.0,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,0.0,3.39,0.847
4996,North America,Bahamas,3903.0,91.0,0.0,0.0,0.0,393248.0,39.497,34.3,8.996,5.2,27717.847,0.0,0.0,2.9,0.807
34886,Europe,Poland,89962.0,2483.0,0.0,0.0,0.0,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,0.0,0.0,6.62,0.865
31077,Asia,Malaysia,11135.0,134.0,0.0,0.0,0.0,32365998.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,0.1,0.0,1.9,0.802
19614,Europe,Hungary,26461.0,765.0,715677.0,11.675999999999998,0.0,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,0.0,7.02,0.838
40744,Africa,Seychelles,143.0,0.0,0.0,0.0,0.0,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,0.0,3.6,0.797
42763,Asia,Turkey,317272.0,8130.0,0.0,0.0,0.0,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,0.0,2.81,0.7909999999999999
26967,Europe,Latvia,1729.0,37.0,0.0,0.0,0.0,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,0.0,5.57,0.847
36724,Europe,Russia,1167805.0,20545.0,0.0,0.0,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,0.0,8.05,0.816
23959,North America,Saint Kitts and Nevis,19.0,0.0,0.0,0.0,0.0,53192.0,212.865,0.0,0.0,0.0,24654.385,0.0,0.0,2.3,0.778
17726,Europe,Greece,18123.0,388.0,0.0,0.0,0.0,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,0.0,4.21,0.87
23090,Asia,Kazakhstan,140707.0,2078.0,0.0,0.0,0.0,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,98.999,6.7,0.8
36449,Europe,Romania,125414.0,4792.0,0.0,0.0,0.0,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,0.0,6.892,0.8109999999999999
8086,South America,Chile,461300.0,12725.0,0.0,0.0,0.0,19116209.0,24.281999999999996,35.4,11.087,6.938,22767.037,1.3,0.0,2.11,0.843
19208,Europe,Croatia,16380.0,275.0,307084.0,26.846,0.0,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,0.0,5.54,0.831
17451,Africa,Equatorial Guinea,5030.0,83.0,0.0,0.0,0.0,1402985.0,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,0.0,24.64,2.1,0.591
33992,North America,Panama,111853.0,2364.0,0.0,0.0,0.0,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,0.0,2.3,0.789
2243,North America,Antigua and Barbuda,101.0,3.0,0.0,0.0,0.0,97928.0,231.845,32.1,6.933,4.631,21490.943,0.0,0.0,3.8,0.78
43835,South America,Uruguay,2033.0,48.0,0.0,0.0,0.0,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,0.0,2.8,0.804
30616,Africa,Mauritius,381.0,10.0,0.0,0.0,0.0,1271767.0,622.962,37.4,10.945,5.8839999999999995,20292.745,0.5,0.0,3.4,0.79
20908,Asia,Iran,453637.0,25986.0,0.0,0.0,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,0.0,1.5,0.7979999999999999
1773,South America,Argentina,736596.0,16519.0,0.0,0.0,91.67,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,0.0,5.0,0.825
4524,Europe,Bulgaria,20547.0,814.0,524349.0,17.756,0.0,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,0.0,7.454,0.813
25383,Africa,Libya,34014.0,540.0,0.0,0.0,0.0,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,0.0,0.0,3.7,0.706
28358,North America,Mexico,738163.0,77163.0,0.0,0.0,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,87.84700000000001,1.38,0.774
5475,Europe,Belarus,78260.0,828.0,0.0,0.0,0.0,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,0.0,0.0,11.0,0.8079999999999999
6536,North America,Barbados,190.0,7.0,0.0,0.0,0.0,287371.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,0.0,88.469,5.8,0.8
44909,South America,Venezuela,74363.0,621.0,0.0,0.0,0.0,28435943.0,36.253,29.0,6.614,3.915,16745.022,0.0,0.0,0.8,0.7609999999999999
15525,Africa,Gabon,8752.0,54.0,0.0,0.0,0.0,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,0.0,6.3,0.7020000000000001
29450,Europe,Montenegro,10575.0,164.0,0.0,0.0,0.0,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,0.0,3.861,0.8140000000000001
41807,Asia,Thailand,3564.0,59.0,0.0,0.0,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,90.67,2.1,0.755
3068,Asia,Azerbaijan,40119.0,590.0,0.0,0.0,0.0,10139175.0,119.309,32.4,6.018,3.8710000000000004,15847.419,0.0,83.241,4.7,0.757
7127,Africa,Botswana,3172.0,16.0,0.0,0.0,0.0,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,0.0,0.0,1.8,0.7170000000000001
21183,Asia,Iraq,358290.0,9122.0,0.0,0.0,0.0,40222503.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,2.5,94.57600000000001,1.4,0.685
9930,North America,Costa Rica,74604.0,880.0,0.0,0.0,0.0,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,83.84100000000001,1.13,0.794
46840,0,World,33714595.0,1008932.0,0.0,0.0,0.0,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,60.13,2.705,0.0
8361,Asia,China,90528.0,4739.0,0.0,0.0,0.0,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,0.0,4.34,0.752
28083,Asia,Maldives,10194.0,34.0,0.0,0.0,0.0,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,0.0,95.803,0.0,0.7170000000000001
12213,North America,Dominican Republic,111900.0,2101.0,0.0,0.0,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,55.181999999999995,1.6,0.736
6339,South America,Brazil,4777522.0,142921.0,0.0,0.0,0.0,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,0.0,2.2,0.759
38899,Europe,Serbia,33479.0,749.0,0.0,0.0,0.0,6804596.0,80.291,41.2,17.366,0.0,14048.881000000001,0.0,97.719,5.609,0.787
12488,Africa,Algeria,51368.0,1726.0,0.0,0.0,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,83.741,1.9,0.754
39447,South America,Suriname,4863.0,104.0,0.0,0.0,0.0,586634.0,3.612,29.6,6.933,4.229,13767.118999999999,0.0,67.779,3.1,0.72
17918,North America,Grenada,24.0,0.0,0.0,0.0,0.0,112519.0,317.132,29.4,7.303999999999999,5.021,13593.877,0.0,0.0,3.7,0.772
24974,Asia,Lebanon,38377.0,361.0,0.0,0.0,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,0.0,0.0,2.9,0.757
9377,South America,Colombia,824042.0,25828.0,0.0,0.0,0.0,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,65.38600000000001,1.71,0.747
28633,Europe,Macedonia,17786.0,737.0,0.0,0.0,0.0,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,0.0,4.28,0.757
25583,North America,Saint Lucia,27.0,0.0,0.0,0.0,0.0,183629.0,293.187,34.9,9.721,6.405,12951.839,0.0,87.20200000000001,1.3,0.747
46175,Africa,South Africa,672572.0,16667.0,0.0,0.0,0.0,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,43.993,2.32,0.6990000000000001
34208,South America,Peru,811768.0,32396.0,0.0,0.0,0.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,0.0,1.6,0.75
29651,Asia,Mongolia,313.0,0.0,0.0,0.0,0.0,3278292.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,71.18,7.0,0.741
1058,Europe,Albania,13518.0,384.0,0.0,0.0,0.0,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,0.0,2.89,0.785
5200,Europe,Bosnia and Herzegovina,27222.0,836.0,0.0,0.0,0.0,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,97.164,3.5,0.768
26063,Asia,Sri Lanka,3374.0,13.0,0.0,0.0,0.0,21413250.0,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,0.0,3.6,0.77
19889,Asia,Indonesia,282724.0,10601.0,0.0,0.0,0.0,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,64.204,1.04,0.6940000000000001
42562,Africa,Tunisia,17405.0,246.0,0.0,0.0,0.0,11818618.0,74.22800000000001,32.7,8.001,5.075,10849.296999999999,2.0,78.687,2.3,0.735
44709,North America,Saint Vincent and the Grenadines,64.0,0.0,0.0,0.0,0.0,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,0.0,0.0,2.6,0.723
12763,South America,Ecuador,135749.0,11312.0,0.0,0.0,0.0,17643060.0,66.939,28.1,7.104,4.458,10581.936000000002,3.6,80.635,1.5,0.752
13038,Africa,Egypt,103079.0,5914.0,0.0,0.0,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,89.82700000000001,1.6,0.696
45764,Europe,Kosovo,15574.0,625.0,0.0,0.0,0.0,1932774.0,168.155,0.0,0.0,0.0,9795.834,0.6,0.0,0.0,0.0
16075,Asia,Georgia,5866.0,33.0,0.0,0.0,0.0,3989175.0,65.032,38.7,14.864,10.244000000000002,9745.079,4.2,0.0,2.6,0.78
11663,North America,Dominica,24.0,0.0,0.0,0.0,0.0,71991.0,98.56700000000001,0.0,0.0,0.0,9673.367,0.0,0.0,3.8,0.715
31277,Africa,Namibia,11140.0,121.0,0.0,0.0,0.0,2540916.0,3.0780000000000003,22.0,3.552,2.085,9541.808,13.4,44.6,0.0,0.647
35495,South America,Paraguay,40101.0,841.0,0.0,0.0,0.0,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,79.602,1.3,0.7020000000000001
2048,Asia,Armenia,49901.0,958.0,0.0,0.0,0.0,2963234.0,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,1.8,94.04299999999999,4.2,0.755
6944,Asia,Bhutan,281.0,0.0,0.0,0.0,0.0,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,79.807,1.7,0.612
14660,Oceania,Fiji,32.0,2.0,0.0,0.0,0.0,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,0.0,2.3,0.741
22613,Asia,Jordan,10049.0,57.0,0.0,0.0,0.0,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,0.0,1.4,0.735
22210,North America,Jamaica,6382.0,100.0,0.0,0.0,0.0,2961161.0,266.879,31.4,9.684,6.39,8193.571,0.0,66.425,1.7,0.732
43635,Europe,Ukraine,204932.0,4065.0,2278248.0,7.4220000000000015,0.0,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,0.0,8.8,0.7509999999999999
5666,North America,Belize,1943.0,26.0,0.0,0.0,0.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,0.0,90.083,1.3,0.708
40337,Africa,Swaziland,5462.0,108.0,0.0,0.0,0.0,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,0.0,24.096999999999998,2.1,0.588
34483,Asia,Philippines,309303.0,5448.0,0.0,0.0,0.0,109581085.0,351.87300000000005,25.2,4.803,2.661,7599.188,0.0,78.46300000000001,1.0,0.6990000000000001
27204,Africa,Morocco,121183.0,2152.0,0.0,0.0,0.0,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,0.0,1.1,0.667
18709,South America,Guyana,2846.0,78.0,0.0,0.0,0.0,786559.0,3.952,26.3,5.305,2.8369999999999997,7435.047,0.0,77.15899999999999,1.6,0.654
18313,North America,Guatemala,90968.0,3238.0,0.0,0.0,0.0,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,76.665,0.6,0.65
38208,North America,El Salvador,28981.0,843.0,0.0,0.0,0.0,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,90.65,1.3,0.674
6064,South America,Bolivia,134641.0,7931.0,0.0,0.0,0.0,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,25.383000000000003,1.1,0.693
42153,Asia,Timor,28.0,0.0,0.0,0.0,0.0,1318442.0,87.176,18.0,3.556,1.8969999999999998,6570.102,30.3,28.178,5.9,0.625
20358,Asia,India,6225763.0,97497.0,0.0,0.0,0.0,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,59.55,0.53,0.64
24699,Asia,Laos,23.0,0.0,0.0,0.0,0.0,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,49.839,1.5,0.601
44309,Asia,Uzbekistan,56519.0,468.0,0.0,0.0,0.0,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,0.0,0.0,4.0,0.71
9723,Africa,Cape Verde,5900.0,59.0,0.0,0.0,0.0,555988.0,135.58,25.7,4.46,3.437,6222.554,0.0,0.0,2.1,0.654
45563,Asia,Vietnam,1094.0,35.0,0.0,0.0,0.0,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,85.84700000000001,2.6,0.6940000000000001
664,Africa,Angola,4905.0,179.0,0.0,0.0,0.0,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,0.0,26.664,0.0,0.581
29253,Asia,Myanmar,12425.0,284.0,0.0,0.0,0.0,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,79.28699999999999,0.9,0.578
31940,Africa,Nigeria,58647.0,1111.0,0.0,0.0,0.0,206139587.0,209.588,18.1,2.7510000000000003,1.4469999999999998,5338.454000000001,0.0,41.949,0.0,0.532
32136,North America,Nicaragua,5086.0,149.0,0.0,0.0,0.0,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,0.0,0.9,0.6579999999999999
27684,Europe,Moldova,52029.0,1310.0,0.0,0.0,0.0,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,86.979,5.8,0.7
33786,Asia,Pakistan,312263.0,6479.0,3514237.0,51.604,0.0,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,59.607,0.6,0.562
9167,Africa,Congo,5089.0,89.0,0.0,0.0,0.0,5518092.0,15.405,19.0,3.4019999999999997,2.063,4881.406,37.0,47.964,0.0,0.606
18933,North America,Honduras,76098.0,2323.0,0.0,0.0,0.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,84.169,0.7,0.617
37338,Africa,Sudan,13606.0,836.0,0.0,0.0,0.0,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,0.0,23.436999999999998,0.8,0.502
35703,Asia,Palestine,50115.0,360.0,0.0,0.0,0.0,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,0.0,0.0,0.6859999999999999
16471,Africa,Ghana,46482.0,301.0,0.0,0.0,0.0,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,41.047,0.9,0.5920000000000001
34677,Oceania,Papua New Guinea,534.0,7.0,0.0,0.0,0.0,8947027.0,18.22,22.6,3.8080000000000003,2.142,3823.1940000000004,0.0,0.0,0.0,0.544
46371,Africa,Zambia,14715.0,332.0,0.0,0.0,0.0,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,13.937999999999999,2.0,0.588
23770,Asia,Cambodia,277.0,0.0,0.0,0.0,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,0.0,66.229,0.8,0.5820000000000001
8562,Africa,Cote d'Ivoire,19669.0,120.0,0.0,0.0,0.0,26378275.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,19.351,0.0,0.49200000000000005
30227,Africa,Mauritania,7474.0,161.0,0.0,0.0,0.0,4649660.0,4.289,20.3,3.138,1.7919999999999998,3597.633,6.0,15.95,0.0,0.52
4319,Asia,Bangladesh,362043.0,5219.0,0.0,0.0,0.0,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,34.808,0.8,0.608
23495,Asia,Kyrgyzstan,46669.0,1064.0,0.0,0.0,0.0,6524191.0,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,89.22,4.5,0.672
8766,Africa,Cameroon,20838.0,418.0,0.0,0.0,0.0,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,2.735,1.3,0.556
39252,Africa,Sao Tome and Principe,911.0,15.0,0.0,0.0,0.0,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,41.34,2.9,0.589
23299,Africa,Kenya,38378.0,707.0,0.0,0.0,0.0,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,24.651,1.4,0.59
41960,Asia,Tajikistan,9726.0,75.0,0.0,0.0,0.0,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,72.704,4.8,0.65
26202,Africa,Lesotho,1576.0,35.0,0.0,0.0,0.0,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,2.117,0.0,0.52
11471,Africa,Djibouti,5416.0,61.0,0.0,0.0,0.0,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,0.0,1.4,0.47600000000000003
43236,Africa,Tanzania,509.0,21.0,0.0,0.0,0.0,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,47.953,0.7,0.5379999999999999
37554,Africa,Senegal,14945.0,310.0,0.0,0.0,0.0,16743930.0,82.32799999999999,18.7,3.008,1.796,2470.58,38.0,20.859,0.0,0.505
32961,Asia,Nepal,76258.0,491.0,0.0,0.0,0.0,29136808.0,204.43,25.0,5.809,3.2119999999999997,2442.804,15.0,47.782,0.3,0.574
3724,Africa,Benin,2340.0,40.0,0.0,0.0,0.0,12123198.0,99.11,18.8,3.2439999999999998,1.942,2064.236,49.6,11.035,0.5,0.515
28822,Africa,Mali,3090.0,130.0,0.0,0.0,0.0,20250834.0,15.196,16.4,2.519,1.486,2014.306,0.0,52.232,0.1,0.42700000000000005
16866,Africa,Guinea,10634.0,66.0,0.0,0.0,0.0,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,17.45,0.3,0.45899999999999996
46565,Africa,Zimbabwe,7837.0,228.0,0.0,0.0,0.0,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,36.791,1.7,0.535
36924,Africa,Rwanda,4836.0,29.0,0.0,0.0,0.0,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,4.617,0.0,0.524
471,Asia,Afghanistan,39254.0,1458.0,0.0,0.0,0.0,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,0.0,37.746,0.5,0.498
41321,Africa,Chad,1193.0,85.0,0.0,0.0,0.0,16425859.0,11.833,16.7,2.4859999999999998,1.446,1768.1529999999998,38.4,5.818,0.0,0.40399999999999997
14140,Africa,Ethiopia,74584.0,1191.0,0.0,0.0,0.0,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,7.96,0.3,0.46299999999999997
4108,Africa,Burkina Faso,2032.0,58.0,0.0,0.0,0.0,20903278.0,70.15100000000001,17.6,2.4090000000000003,1.358,1703.102,43.7,11.877,0.4,0.423
43429,Africa,Uganda,8017.0,75.0,0.0,0.0,0.0,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,21.221999999999998,0.5,0.516
