,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,positive_rate,population,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
42562,Africa,Tunisia,17405.0,1291.0,246.0,32.0,1472.6760000000002,109.234,20.815,2.708,0.0,11818618.0,32.7,8.001,5.075,10849.296999999999,318.991,8.52,1.1,65.8,76.7,0.735
42763,Asia,Turkey,317272.0,1427.0,8130.0,68.0,3761.863,16.92,96.397,0.8059999999999999,0.0,84339067.0,31.6,8.152999999999999,5.061,25129.341,171.285,12.13,14.1,41.1,77.69,0.7909999999999999
43038,Asia,Taiwan,514.0,1.0,7.0,0.0,21.581,0.042,0.294,0.0,0.0,23816775.0,42.2,0.0,8.353,0.0,103.95700000000001,0.0,0.0,0.0,80.46,0.0
43236,Africa,Tanzania,509.0,0.0,21.0,0.0,8.521,0.0,0.35200000000000004,0.0,0.0,59734213.0,17.7,3.108,1.874,2683.304,217.28799999999998,5.75,3.3,26.7,65.46,0.5379999999999999
43429,Africa,Uganda,8017.0,240.0,75.0,0.0,175.269,5.247000000000001,1.64,0.0,0.0,45741000.0,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,63.37,0.516
43635,Europe,Ukraine,204932.0,3627.0,4065.0,69.0,4685.9,82.934,92.949,1.578,0.135,43733759.0,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,72.06,0.7509999999999999
43835,South America,Uruguay,2033.0,23.0,48.0,1.0,585.25,6.621,13.818,0.28800000000000003,0.0,3473727.0,35.6,14.655,10.360999999999999,20551.409,160.708,6.93,14.0,19.9,77.91,0.804
44110,North America,United States,7191061.0,43017.0,205998.0,928.0,21725.086,129.96,622.345,2.804,0.0,331002647.0,38.3,15.413,9.732000000000001,54225.445999999996,151.089,10.79,19.1,24.6,78.86,0.924
44309,Asia,Uzbekistan,56519.0,451.0,468.0,5.0,1688.6870000000001,13.475,13.982999999999999,0.149,0.0,33469199.0,28.2,4.468999999999999,2.873,6253.104,724.4169999999999,7.57,1.3,24.7,71.72,0.71
44512,Europe,Vatican,12.0,0.0,0.0,0.0,14833.127,0.0,0.0,0.0,0.0,809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.12,0.0
44709,North America,Saint Vincent and the Grenadines,64.0,0.0,0.0,0.0,576.852,0.0,0.0,0.0,0.0,110947.0,31.8,7.724,4.832,10727.146,252.675,11.62,0.0,0.0,72.53,0.723
44909,South America,Venezuela,74363.0,835.0,621.0,7.0,2615.106,29.364,21.839000000000002,0.24600000000000002,0.0,28435943.0,29.0,6.614,3.915,16745.022,204.85,6.47,0.0,0.0,72.06,0.7609999999999999
45097,North America,British Virgin Islands,71.0,0.0,1.0,0.0,2348.117,0.0,33.071999999999996,0.0,0.0,30237.0,0.0,0.0,0.0,0.0,0.0,13.67,0.0,0.0,79.07,0.0
45288,North America,United States Virgin Islands,1318.0,0.0,20.0,0.0,12621.74,0.0,191.52900000000002,0.0,0.0,104423.0,42.2,18.601,10.799000000000001,0.0,273.67,12.26,0.0,0.0,80.58,0.0
45563,Asia,Vietnam,1094.0,17.0,35.0,0.0,11.239,0.175,0.36,0.0,0.0,97338583.0,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,0.6940000000000001
45764,Europe,Kosovo,15574.0,54.0,625.0,0.0,8057.848000000001,27.939,323.369,0.0,0.0,1932774.0,0.0,0.0,0.0,9795.834,0.0,0.0,0.0,0.0,0.0,0.0
45938,Asia,Yemen,2035.0,0.0,588.0,0.0,68.229,0.0,19.714000000000002,0.0,0.0,29825968.0,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,495.00300000000004,5.35,7.6,29.2,66.12,0.452
46175,Africa,South Africa,672572.0,903.0,16667.0,81.0,11340.193000000001,15.225,281.02099999999996,1.3659999999999999,0.0,59308690.0,27.3,5.343999999999999,3.053,12294.876,200.38,5.52,8.1,33.2,64.13,0.6990000000000001
46371,Africa,Zambia,14715.0,55.0,332.0,0.0,800.426,2.992,18.059,0.0,0.0,18383956.0,17.7,2.48,1.5419999999999998,3689.2509999999997,234.49900000000002,3.94,3.1,24.7,63.89,0.588
46565,Africa,Zimbabwe,7837.0,21.0,228.0,0.0,527.285,1.413,15.34,0.0,0.0,14862927.0,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,0.535
46840,0,World,33714595.0,277930.0,1008932.0,6027.0,4325.268,35.656,129.437,0.773,0.0,7794798729.0,30.9,8.696,5.355,15469.207,233.07,8.51,6.434,34.635,72.58,0.0
47115,0,International,696.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
